Year,Units,sex,federal state,GeoCode,Value
2021,percentage,,,,12.4
2022,percentage,,,,12.8
2023,percentage,,,,13.1
2030,percentage,,,,
1999,percentage,female,,,15.6
2000,percentage,female,,,14.9
2001,percentage,female,,,12.6
2002,percentage,female,,,12.5
2003,percentage,female,,,12.8
2004,percentage,female,,,11.9
2005,percentage,female,,,13.7
2006,percentage,female,,,13.4
2007,percentage,female,,,11.9
2008,percentage,female,,,11.2
2009,percentage,female,,,10.7
2010,percentage,female,,,11.0
2011,percentage,female,,,10.6
2012,percentage,female,,,9.7
2013,percentage,female,,,9.3
2014,percentage,female,,,9.0
2015,percentage,female,,,9.5
2016,percentage,female,,,9.6
2017,percentage,female,,,9.0
2018,percentage,female,,,9.1
2019,percentage,female,,,8.7
2020,percentage,female,,,8.5
2021,percentage,female,,,10.2
2022,percentage,female,,,11.1
2023,percentage,female,,,10.8
1999,percentage,male,,,14.2
2000,percentage,male,,,14.4
2001,percentage,male,,,12.0
2002,percentage,male,,,12.5
2003,percentage,male,,,12.9
2004,percentage,male,,,12.2
2005,percentage,male,,,13.3
2006,percentage,male,,,14.0
2007,percentage,male,,,13.1
2008,percentage,male,,,12.4
2009,percentage,male,,,11.5
2010,percentage,male,,,12.7
2011,percentage,male,,,12.5
2012,percentage,male,,,11.0
2013,percentage,male,,,10.3
2014,percentage,male,,,10.0
2015,percentage,male,,,10.1
2016,percentage,male,,,11.0
2017,percentage,male,,,11.1
2018,percentage,male,,,11.4
2019,percentage,male,,,11.8
2020,percentage,male,,,11.8
2021,percentage,male,,,14.3
2022,percentage,male,,,14.5
2023,percentage,male,,,15.3
2005,percentage,,baden-wuerttemberg,code08,12.5
2006,percentage,,baden-wuerttemberg,code08,12.4
2007,percentage,,baden-wuerttemberg,code08,12.1
2008,percentage,,baden-wuerttemberg,code08,10.1
2009,percentage,,baden-wuerttemberg,code08,9.5
2010,percentage,,baden-wuerttemberg,code08,9.8
2011,percentage,,baden-wuerttemberg,code08,9.931
2012,percentage,,baden-wuerttemberg,code08,8.263
2013,percentage,,baden-wuerttemberg,code08,7.6
2014,percentage,,baden-wuerttemberg,code08,7.897
2015,percentage,,baden-wuerttemberg,code08,8.301
2016,percentage,,baden-wuerttemberg,code08,9.354
2017,percentage,,baden-wuerttemberg,code08,8.713
2018,percentage,,baden-wuerttemberg,code08,9.713
2019,percentage,,baden-wuerttemberg,code08,9.183
2020,percentage,,baden-wuerttemberg,code08,9.1
2021,percentage,,baden-wuerttemberg,code08,11.1
2022,percentage,,baden-wuerttemberg,code08,11.4
2023,percentage,,baden-wuerttemberg,code08,12.2
2005,percentage,female,baden-wuerttemberg,code08,14.3
2006,percentage,female,baden-wuerttemberg,code08,13.4
2007,percentage,female,baden-wuerttemberg,code08,11.9
2008,percentage,female,baden-wuerttemberg,code08,10.4
2009,percentage,female,baden-wuerttemberg,code08,9.5
2010,percentage,female,baden-wuerttemberg,code08,10.0
2011,percentage,female,baden-wuerttemberg,code08,9.924
2012,percentage,female,baden-wuerttemberg,code08,8.269
2013,percentage,female,baden-wuerttemberg,code08,7.3
2014,percentage,female,baden-wuerttemberg,code08,7.319
2015,percentage,female,baden-wuerttemberg,code08,8.483
2016,percentage,female,baden-wuerttemberg,code08,8.776
2017,percentage,female,baden-wuerttemberg,code08,7.765
2018,percentage,female,baden-wuerttemberg,code08,8.525
2019,percentage,female,baden-wuerttemberg,code08,7.546
2020,percentage,female,baden-wuerttemberg,code08,8.5
2021,percentage,female,baden-wuerttemberg,code08,9.4
2022,percentage,female,baden-wuerttemberg,code08,13.2
2023,percentage,female,baden-wuerttemberg,code08,9.7
2005,percentage,male,baden-wuerttemberg,code08,10.7
2006,percentage,male,baden-wuerttemberg,code08,11.3
2007,percentage,male,baden-wuerttemberg,code08,12.3
2008,percentage,male,baden-wuerttemberg,code08,9.8
2009,percentage,male,baden-wuerttemberg,code08,9.5
2010,percentage,male,baden-wuerttemberg,code08,9.7
2011,percentage,male,baden-wuerttemberg,code08,9.94
2012,percentage,male,baden-wuerttemberg,code08,8.258
2013,percentage,male,baden-wuerttemberg,code08,7.9
2014,percentage,male,baden-wuerttemberg,code08,8.452
2015,percentage,male,baden-wuerttemberg,code08,8.13
2016,percentage,male,baden-wuerttemberg,code08,9.87
2017,percentage,male,baden-wuerttemberg,code08,9.555
2018,percentage,male,baden-wuerttemberg,code08,10.747
2019,percentage,male,baden-wuerttemberg,code08,10.666
2020,percentage,male,baden-wuerttemberg,code08,9.6
2021,percentage,male,baden-wuerttemberg,code08,12.7
2022,percentage,male,baden-wuerttemberg,code08,9.5
2023,percentage,male,baden-wuerttemberg,code08,14.5
2005,percentage,,bavaria,code09,11.2
2006,percentage,,bavaria,code09,12.6
2007,percentage,,bavaria,code09,11.2
2008,percentage,,bavaria,code09,9.6
2009,percentage,,bavaria,code09,8.8
2010,percentage,,bavaria,code09,9.4
2011,percentage,,bavaria,code09,9.093
2012,percentage,,bavaria,code09,7.358
2013,percentage,,bavaria,code09,7.3
2014,percentage,,bavaria,code09,6.395
2015,percentage,,bavaria,code09,6.157
2016,percentage,,bavaria,code09,7.626
2017,percentage,,bavaria,code09,7.201
2018,percentage,,bavaria,code09,7.226
2019,percentage,,bavaria,code09,7.618
2020,percentage,,bavaria,code09,8.3
2021,percentage,,bavaria,code09,9.8
2022,percentage,,bavaria,code09,9.8
2023,percentage,,bavaria,code09,10.7
2005,percentage,female,bavaria,code09,11.5
2006,percentage,female,bavaria,code09,12.5
2007,percentage,female,bavaria,code09,9.9
2008,percentage,female,bavaria,code09,9.0
2009,percentage,female,bavaria,code09,8.2
2010,percentage,female,bavaria,code09,9.1
2011,percentage,female,bavaria,code09,7.957
2012,percentage,female,bavaria,code09,6.843
2013,percentage,female,bavaria,code09,7.0
2014,percentage,female,bavaria,code09,6.178
2015,percentage,female,bavaria,code09,5.624
2016,percentage,female,bavaria,code09,6.832
2017,percentage,female,bavaria,code09,6.498
2018,percentage,female,bavaria,code09,6.429
2019,percentage,female,bavaria,code09,6.521
2020,percentage,female,bavaria,code09,7.2
2021,percentage,female,bavaria,code09,7.9
2022,percentage,female,bavaria,code09,10.9
2023,percentage,female,bavaria,code09,8.6
2005,percentage,male,bavaria,code09,10.8
2006,percentage,male,bavaria,code09,12.6
2007,percentage,male,bavaria,code09,12.6
2008,percentage,male,bavaria,code09,10.1
2009,percentage,male,bavaria,code09,9.5
2010,percentage,male,bavaria,code09,9.7
2011,percentage,male,bavaria,code09,10.18
2012,percentage,male,bavaria,code09,7.837
2013,percentage,male,bavaria,code09,7.6
2014,percentage,male,bavaria,code09,6.6
2015,percentage,male,bavaria,code09,6.654
2016,percentage,male,bavaria,code09,8.355
2017,percentage,male,bavaria,code09,7.837
2018,percentage,male,bavaria,code09,7.98
2019,percentage,male,bavaria,code09,8.625
2020,percentage,male,bavaria,code09,9.3
2021,percentage,male,bavaria,code09,11.4
2022,percentage,male,bavaria,code09,8.7
2023,percentage,male,bavaria,code09,12.6
2005,percentage,,berlin,code11,18.7
2006,percentage,,berlin,code11,18.2
2007,percentage,,berlin,code11,13.0
2008,percentage,,berlin,code11,15.7
2009,percentage,,berlin,code11,14.2
2010,percentage,,berlin,code11,14.6
2011,percentage,,berlin,code11,13.051
2012,percentage,,berlin,code11,12.98
2013,percentage,,berlin,code11,11.9
2014,percentage,,berlin,code11,13.525
2015,percentage,,berlin,code11,13.68
2016,percentage,,berlin,code11,11.702
2017,percentage,,berlin,code11,13.175
2018,percentage,,berlin,code11,13.55
2019,percentage,,berlin,code11,11.598
2020,percentage,,berlin,code11,9.8
2021,percentage,,berlin,code11,9.5
2022,percentage,,berlin,code11,13.2
2023,percentage,,berlin,code11,14.7
2005,percentage,female,berlin,code11,17.0
2006,percentage,female,berlin,code11,16.7
2007,percentage,female,berlin,code11,11.5
2008,percentage,female,berlin,code11,14.0
2009,percentage,female,berlin,code11,13.0
2010,percentage,female,berlin,code11,12.4
2011,percentage,female,berlin,code11,11.248
2012,percentage,female,berlin,code11,10.811
2013,percentage,female,berlin,code11,9.1
2014,percentage,female,berlin,code11,11.915
2015,percentage,female,berlin,code11,10.669
2016,percentage,female,berlin,code11,10.885
2017,percentage,female,berlin,code11,10.988
2018,percentage,female,berlin,code11,10.41
