Year,Units,Series,federal state,GeoCode,type of care,Value
2015,percentage,b) 3 to 5-year-olds,hamburg,code02,,45.712
2016,percentage,b) 3 to 5-year-olds,hamburg,code02,,45.239
2017,percentage,b) 3 to 5-year-olds,hamburg,code02,,48.291
2018,percentage,b) 3 to 5-year-olds,hamburg,code02,,47.249
2019,percentage,b) 3 to 5-year-olds,hamburg,code02,,49.748
2020,percentage,b) 3 to 5-year-olds,hamburg,code02,,51.684
2021,percentage,b) 3 to 5-year-olds,hamburg,code02,,48.94
2022,percentage,b) 3 to 5-year-olds,hamburg,code02,,49.385
2006,percentage,b) 3 to 5-year-olds,hesse,code06,,22.117
2007,percentage,b) 3 to 5-year-olds,hesse,code06,,25.526
2008,percentage,b) 3 to 5-year-olds,hesse,code06,,29.181
2009,percentage,b) 3 to 5-year-olds,hesse,code06,,32.357
2010,percentage,b) 3 to 5-year-olds,hesse,code06,,36.29
2011,percentage,b) 3 to 5-year-olds,hesse,code06,,38.994
2012,percentage,b) 3 to 5-year-olds,hesse,code06,,41.216
2013,percentage,b) 3 to 5-year-olds,hesse,code06,,44.121
2014,percentage,b) 3 to 5-year-olds,hesse,code06,,46.692
2015,percentage,b) 3 to 5-year-olds,hesse,code06,,47.963
2016,percentage,b) 3 to 5-year-olds,hesse,code06,,49.537
2017,percentage,b) 3 to 5-year-olds,hesse,code06,,50.423
2018,percentage,b) 3 to 5-year-olds,hesse,code06,,51.234
2019,percentage,b) 3 to 5-year-olds,hesse,code06,,53.444
2020,percentage,b) 3 to 5-year-olds,hesse,code06,,54.304
2021,percentage,b) 3 to 5-year-olds,hesse,code06,,52.158
2022,percentage,b) 3 to 5-year-olds,hesse,code06,,53.198
2006,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,46.051
2007,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,48.475
2008,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,51.571
2009,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,54.78
2010,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,55.861
2011,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,58.006
2012,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,61.902
2013,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,64.125
2014,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,65.319
2015,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,66.519
2016,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,66.591
2017,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,67.158
2018,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,68.728
2019,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,70.79
2020,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,73.046
2021,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,72.52
2022,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,73.549
2006,percentage,b) 3 to 5-year-olds,lower saxony,code03,,7.939
2007,percentage,b) 3 to 5-year-olds,lower saxony,code03,,9.547
2008,percentage,b) 3 to 5-year-olds,lower saxony,code03,,10.746
2009,percentage,b) 3 to 5-year-olds,lower saxony,code03,,12.507
2010,percentage,b) 3 to 5-year-olds,lower saxony,code03,,14.275
2011,percentage,b) 3 to 5-year-olds,lower saxony,code03,,16.596
2012,percentage,b) 3 to 5-year-olds,lower saxony,code03,,18.871
2013,percentage,b) 3 to 5-year-olds,lower saxony,code03,,21.493
2014,percentage,b) 3 to 5-year-olds,lower saxony,code03,,24.177
2015,percentage,b) 3 to 5-year-olds,lower saxony,code03,,26.54
2016,percentage,b) 3 to 5-year-olds,lower saxony,code03,,28.769
2017,percentage,b) 3 to 5-year-olds,lower saxony,code03,,30.022
2018,percentage,b) 3 to 5-year-olds,lower saxony,code03,,31.572
2019,percentage,b) 3 to 5-year-olds,lower saxony,code03,,34.908
2020,percentage,b) 3 to 5-year-olds,lower saxony,code03,,37.2
2021,percentage,b) 3 to 5-year-olds,lower saxony,code03,,37.952
2022,percentage,b) 3 to 5-year-olds,lower saxony,code03,,38.428
2006,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,19.019
2007,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,21.695
2008,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,26.703
2009,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,30.535
2010,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,33.308
2011,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,35.709
2012,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,38.043
2013,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,39.978
2014,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,41.755
2015,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,44.078
2016,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,44.842
2017,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,45.345
2018,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,46.017
2019,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,46.596
2020,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,46.887
2021,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,48.172
2022,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,48.808
2006,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,18.133
2007,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,20.25
2008,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,23.341
2009,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,28.354
2010,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,33.553
2011,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,38.56
2012,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,44.597
2013,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,46.392
2014,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,47.696
2015,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,49.628
2016,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,50.778
2017,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,52.214
2018,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,52.479
2019,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,53.367
2020,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,53.236
2021,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,52.458
2022,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,53.123
2006,percentage,b) 3 to 5-year-olds,saarland,code10,,14.771
2007,percentage,b) 3 to 5-year-olds,saarland,code10,,16.084
2008,percentage,b) 3 to 5-year-olds,saarland,code10,,18.936
2009,percentage,b) 3 to 5-year-olds,saarland,code10,,22.593
2010,percentage,b) 3 to 5-year-olds,saarland,code10,,25.703
2011,percentage,b) 3 to 5-year-olds,saarland,code10,,29.99
2012,percentage,b) 3 to 5-year-olds,saarland,code10,,34.877
2013,percentage,b) 3 to 5-year-olds,saarland,code10,,39.235
2014,percentage,b) 3 to 5-year-olds,saarland,code10,,42.71
2015,percentage,b) 3 to 5-year-olds,saarland,code10,,46.223
2016,percentage,b) 3 to 5-year-olds,saarland,code10,,48.613
2017,percentage,b) 3 to 5-year-olds,saarland,code10,,49.329
2018,percentage,b) 3 to 5-year-olds,saarland,code10,,52.058
2019,percentage,b) 3 to 5-year-olds,saarland,code10,,54.517
2020,percentage,b) 3 to 5-year-olds,saarland,code10,,56.436
2021,percentage,b) 3 to 5-year-olds,saarland,code10,,56.043
2022,percentage,b) 3 to 5-year-olds,saarland,code10,,58.025
2006,percentage,b) 3 to 5-year-olds,saxony,code14,,59.522
2007,percentage,b) 3 to 5-year-olds,saxony,code14,,62.197
2008,percentage,b) 3 to 5-year-olds,saxony,code14,,65.854
2009,percentage,b) 3 to 5-year-olds,saxony,code14,,70.151
2010,percentage,b) 3 to 5-year-olds,saxony,code14,,74.79
2011,percentage,b) 3 to 5-year-olds,saxony,code14,,75.579
2012,percentage,b) 3 to 5-year-olds,saxony,code14,,76.743
2013,percentage,b) 3 to 5-year-olds,saxony,code14,,78.4
2014,percentage,b) 3 to 5-year-olds,saxony,code14,,79.607
2015,percentage,b) 3 to 5-year-olds,saxony,code14,,80.978
2016,percentage,b) 3 to 5-year-olds,saxony,code14,,80.919
2017,percentage,b) 3 to 5-year-olds,saxony,code14,,81.782
2018,percentage,b) 3 to 5-year-olds,saxony,code14,,82.144
2019,percentage,b) 3 to 5-year-olds,saxony,code14,,82.283
2020,percentage,b) 3 to 5-year-olds,saxony,code14,,82.862
2021,percentage,b) 3 to 5-year-olds,saxony,code14,,81.521
2022,percentage,b) 3 to 5-year-olds,saxony,code14,,82.434
2006,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,50.623
2007,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,53.072
2008,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,54.491
2009,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,56.409
2010,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,57.99
2011,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,61.194
2012,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,63.99
2013,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,65.716
2014,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,81.213
2015,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,82.911
2016,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,81.363
2017,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,80.705
2018,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,80.435
2019,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,81.379
2020,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,82.123
2021,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,81.005
2022,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,80.778
2006,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,10.02
2007,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,11.077
2008,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,12.629
2009,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,14.249
2010,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,16.012
2011,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,19.126
2012,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,21.536
2013,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,24.413
2014,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,26.029
2015,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,29.594
2016,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,31.443
2017,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,34.136
2018,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,34.976
2019,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,36.639
2020,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,37.211
2021,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,39.002
2022,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,40.234
2006,percentage,b) 3 to 5-year-olds,thuringia,code16,,84.011
2007,percentage,b) 3 to 5-year-olds,thuringia,code16,,84.493
2008,percentage,b) 3 to 5-year-olds,thuringia,code16,,84.87
2009,percentage,b) 3 to 5-year-olds,thuringia,code16,,86.081
2010,percentage,b) 3 to 5-year-olds,thuringia,code16,,87.102
2011,percentage,b) 3 to 5-year-olds,thuringia,code16,,89.432
2012,percentage,b) 3 to 5-year-olds,thuringia,code16,,87.637
2013,percentage,b) 3 to 5-year-olds,thuringia,code16,,88.39
2014,percentage,b) 3 to 5-year-olds,thuringia,code16,,91.42
2015,percentage,b) 3 to 5-year-olds,thuringia,code16,,91.446
2016,percentage,b) 3 to 5-year-olds,thuringia,code16,,90.814
2017,percentage,b) 3 to 5-year-olds,thuringia,code16,,91.803
2018,percentage,b) 3 to 5-year-olds,thuringia,code16,,91.814
2019,percentage,b) 3 to 5-year-olds,thuringia,code16,,92.255
2020,percentage,b) 3 to 5-year-olds,thuringia,code16,,92.187
2021,percentage,b) 3 to 5-year-olds,thuringia,code16,,92.152
2022,percentage,b) 3 to 5-year-olds,thuringia,code16,,91.617
2006,percentage,b) 3 to 5-year-olds,,,day care centres,21.963
2007,percentage,b) 3 to 5-year-olds,,,day care centres,24.189
2008,percentage,b) 3 to 5-year-olds,,,day care centres,26.896
2009,percentage,b) 3 to 5-year-olds,,,day care centres,29.696
2010,percentage,b) 3 to 5-year-olds,,,day care centres,32.138
2011,percentage,b) 3 to 5-year-olds,,,day care centres,34.672
2012,percentage,b) 3 to 5-year-olds,,,day care centres,37.041
2013,percentage,b) 3 to 5-year-olds,,,day care centres,39.267
2014,percentage,b) 3 to 5-year-olds,,,day care centres,41.701
2015,percentage,b) 3 to 5-year-olds,,,day care centres,43.67
2016,percentage,b) 3 to 5-year-olds,,,day care centres,44.49
2017,percentage,b) 3 to 5-year-olds,,,day care centres,45.239
2018,percentage,b) 3 to 5-year-olds,,,day care centres,45.838
2019,percentage,b) 3 to 5-year-olds,,,day care centres,46.871
2020,percentage,b) 3 to 5-year-olds,,,day care centres,47.553
2021,percentage,b) 3 to 5-year-olds,,,day care centres,46.934
2022,percentage,b) 3 to 5-year-olds,,,day care centres,46.99
2023,percentage,b) 3 to 5-year-olds,,,day care centres,46.64
2024,percentage,b) 3 to 5-year-olds,,,day care centres,46.607
2006,percentage,b) 3 to 5-year-olds,,,day care,0.127
2007,percentage,b) 3 to 5-year-olds,,,day care,0.141
2008,percentage,b) 3 to 5-year-olds,,,day care,0.171
2009,percentage,b) 3 to 5-year-olds,,,day care,0.174
2010,percentage,b) 3 to 5-year-olds,,,day care,0.183
2011,percentage,b) 3 to 5-year-olds,,,day care,0.207
2012,percentage,b) 3 to 5-year-olds,,,day care,0.204
2013,percentage,b) 3 to 5-year-olds,,,day care,0.218
2014,percentage,b) 3 to 5-year-olds,,,day care,0.244
2015,percentage,b) 3 to 5-year-olds,,,day care,0.265
2016,percentage,b) 3 to 5-year-olds,,,day care,0.266
2017,percentage,b) 3 to 5-year-olds,,,day care,0.27
2018,percentage,b) 3 to 5-year-olds,,,day care,0.294
2019,percentage,b) 3 to 5-year-olds,,,day care,0.306
2020,percentage,b) 3 to 5-year-olds,,,day care,0.36
2021,percentage,b) 3 to 5-year-olds,,,day care,0.39
2022,percentage,b) 3 to 5-year-olds,,,day care,0.363
2023,percentage,b) 3 to 5-year-olds,,,day care,0.363
2024,percentage,b) 3 to 5-year-olds,,,day care,0.369
