Value,Disaggregation combinations using this value,Number of indicators
baden-wuerttemberg,120,28
bavaria,118,28
berlin,130,28
brandenburg,120,28
bremen,122,28
hamburg,121,28
hesse,125,28
lower saxony,124,28
mecklenburg western pomerania,117,28
north rhine-westphalia,121,28
rhineland palatinate,119,28
saarland,115,28
saxony-anhalt,118,28
saxony,117,28
schleswig-holstein,121,28
thuringia,117,28
