Indicator,Disaggregation combinations using this value
#10-1,6
#11-1-a,5
#11-1-c,4
#11-2-c,1
#12-2-a,2
#17-2,10
#2-1-b,1
#3-1-cd,2
#3-1-f,3
#4-1-a,5
#4-1-b,9
#4-2-ab,2
#5-1-a,3
#5-1-d,2
#6-1-b,1
#7-1-ab,4
#7-2-a,1
#7-2-b,1
#8-2-ab,2
#8-2-c,4
#8-3,5
#8-4,1
#8-5-ab,9
#9-1-a,3
#9-1-b,3
