Indicator,Disaggregation combinations using this value
#1-1-ab,8
#10-1,19
#11-3-a,1
#16-2,1
#3-1-a,3
#3-1-cd,6
#3-1-e,6
#3-1-f,44
#4-1-a,22
#4-1-b,66
#4-3-a,1
#8-5-ab,62
