Indicator,Disaggregation combinations using this value
#10-2,3
#3-1-cd,18
#3-1-f,86
#3-2-a,1
#4-1-a,1
#4-1-b,65
#4-3-b,4
#5-1-a,16
#5-1-e,1
#7-1-ab,12
#7-2-a,3
#7-2-b,6
#8-1,3
#8-2-ab,2
#8-2-c,17
#8-3,17
#8-4,2
