Indicator,Disaggregation combinations using this value
#1-1-ab,5
#10-2,1
#2-1-b,1
#3-1-f,2
#4-1-a,3
#4-1-b,66
#5-1-a,17
#5-1-e,1
#6-1-a,1
#7-1-ab,1
#7-2-a,8
#7-2-b,2
#8-1,2
#8-2-ab,3
#8-2-c,16
#8-3,31
#8-5-ab,54
