Indicator,Disaggregation combinations using this value
#1-1-ab,11
#10-2,2
#2-1-b,2
#3-1-a,8
#3-1-cd,3
#4-1-a,31
#5-1-a,16
#5-1-d,16
#6-1-a,1
#6-1-b,13
#7-1-ab,30
#7-2-a,6
#7-2-b,13
#8-1,2
#8-2-ab,16
#8-2-c,16
#8-3,16
#8-5-ab,29
#9-1-a,33
