Indicator,Disaggregation combinations using this value
#1-1-ab,8
#10-1,20
#11-3-a,1
#16-2,3
#3-1-a,3
#3-1-cd,6
#3-1-e,6
#3-1-f,60
#4-1-a,44
#4-1-b,87
#4-3-a,2
#8-5-ab,68
